緯來,#genre#
緯來日本,rtmp://f13h.mine.nu/sat/tv771 
緯來日本(大街),rtmp://220.130.201.73/sat/tv771
緯來體育臺,http://125.227.210.55:8155/VideoInput/play.ts
緯來精彩,http://61.221.215.25:8800/hls/48/index.m3u8
緯來日本,http://23.26.239.95:3599/xsj.php?id=videoland-japan
緯來综合,http://23.26.239.95:3599/xsj.php?id=videoland
緯來電影,http://23.26.239.95:3599/xsj.php?id=videoland-movie
緯來戲劇,http://23.26.239.95:3599/xsj.php?id=videoland-drama
緯來體育,http://23.26.239.95:3599/xsj.php?id=videoland-sport
臺灣,#genre#
民視,http://209.146.124.22:8891/litv/4gtv-4gtv155 
民視第一台,http://209.146.124.22:8891/litv/4gtv-4gtv003 
民視新聞台,http://209.146.124.22:8891/litv/litv-ftv13 
民視台灣台,http://209.146.124.22:8891/litv/4gtv-4gtv001 
民視影劇台,http://209.146.124.22:8891/litv/litv-ftv09 
民視旅遊台,http://209.146.124.22:8891/litv/litv-ftv07 
民視綜藝台,http://209.146.124.22:8891/litv/4gtv-4gtv004 
中視,http://209.146.124.22:8891/litv/4gtv-4gtv040 
中視新聞台,http://209.146.124.22:8891/litv/4gtv-4gtv074 
中視經典台,http://209.146.124.22:8891/litv/4gtv-4gtv080 
中視菁采台,http://209.146.124.22:8891/litv/4gtv-4gtv064 
中天新聞台,http://209.146.124.22:8891/litv/4gtv-4gtv009 
中天亞洲台,http://209.146.124.22:8891/litv/4gtv-4gtv109 
華視,http://209.146.124.22:8891/litv/4gtv-4gtv041 
華視新聞,http://209.146.124.22:8891/litv/4gtv-4gtv052 
緯來體育臺,http://125.227.210.55:8155/VideoInput/play.ts 
緯來精彩,http://61.221.215.25:8800/hls/48/index.m3u8 
緯來日本,http://23.26.239.95:3599/xsj.php?id=videoland-japan 
緯來综合,http://23.26.239.95:3599/xsj.php?id=videoland 
緯來電影,http://23.26.239.95:3599/xsj.php?id=videoland-movie 
緯來戲劇,http://23.26.239.95:3599/xsj.php?id=videoland-drama 
緯來體育,http://23.26.239.95:3599/xsj.php?id=videoland-sport 
靖天綜合台,http://209.146.124.22:8891/litv/4gtv-4gtv046 
靖天國際台,http://209.146.124.22:8891/litv/4gtv-4gtv063 
靖天戲劇台,http://209.146.124.22:8891/litv/4gtv-4gtv058 
靖天日本台,http://209.146.124.22:8891/litv/4gtv-4gtv047 
靖天映畫台,http://209.146.124.22:8891/litv/4gtv-4gtv055 
靖天卡通台,http://209.146.124.22:8891/litv/4gtv-4gtv044 
靖天育樂台,http://209.146.124.22:8891/litv/4gtv-4gtv062 
靖天資訊台,http://209.146.124.22:8891/litv/4gtv-4gtv065 
靖天電影台,http://209.146.124.22:8891/litv/4gtv-4gtv061 
靖天歡樂台,http://209.146.124.22:8891/litv/4gtv-4gtv054 
龍華偶像台,http://209.146.124.22:8891/litv/litv-longturn12 
龍華卡通台,http://209.146.124.22:8891/litv/litv-longturn01 
龍華戲劇台,http://209.146.124.22:8891/litv/litv-longturn18 
龍華日韓台,http://209.146.124.22:8891/litv/litv-longturn11 
龍華經典台,http://209.146.124.22:8891/litv/litv-longturn21 
龍華電影台,http://209.146.124.22:8891/litv/litv-longturn03 
靖洋戲劇台,http://209.146.124.22:8891/litv/4gtv-4gtv045 
靖洋卡通 Nice Bingo,http://209.146.124.22:8891/litv/4gtv-4gtv057 
寰宇新聞台,http://209.146.124.22:8891/litv/litv-longturn14 
寰宇新聞台灣台,http://209.146.124.22:8891/litv/litv-longturn15 
寰宇財經台,http://209.146.124.22:8891/litv/litv-longturn23 
TVBS,http://209.146.124.22:8891/litv/4gtv-4gtv073 
TVBS 新聞台,http://209.146.124.22:8891/litv/4gtv-4gtv072 
TVBS 綜藝台,http://209.146.124.22:8891/4gtv/284 
TVBS 歡樂台,http://209.146.124.22:8891/litv/4gtv-4gtv068 
TVBS 精采台,http://209.146.124.22:8891/litv/4gtv-4gtv067 
TVBS 台劇台,http://209.146.124.22:8891/4gtv/285 
八大精彩,http://209.146.124.22:8891/litv/4gtv-4gtv034 
八大綜藝,http://209.146.124.22:8891/litv/4gtv-4gtv039 
八大第一,http://61.221.215.25:8800/hls/55/index.m3u8 
八大综合,http://61.221.215.25:8800/hls/56/index.m3u8 
八大戲劇,http://23.26.239.95:3599/xsj.php?id=gtv-41 
八大娛樂,http://23.26.239.95:3599/xsj.php?id=gtv-86 
三立新聞,http://209.146.124.22:8891/4gtv/229 
三立綜合台,http://209.146.124.22:8891/4gtv/169 
三立都會台,http://23.26.239.95:3599/xsj.php?id=settv-city 
三立戲劇台,http://23.26.239.95:3599/xsj.php?id=settv-drama 
三立台灣,http://23.26.239.95:3599/xsj.php?id=settv-taiwan 
台視,http://209.146.124.22:8891/litv/4gtv-4gtv066 
台視新聞台,http://209.146.124.22:8891/litv/4gtv-4gtv051 
台視財經台,http://209.146.124.22:8891/litv/4gtv-4gtv056 
博斯運動一台,http://209.146.124.22:8891/litv/litv-longturn07 
博斯運動二台,http://209.146.124.22:8891/litv/litv-longturn08 
博斯無限台,http://209.146.124.22:8891/litv/litv-longturn10 
博斯無限二台,http://209.146.124.22:8891/litv/litv-longturn13 
博斯網球台,http://209.146.124.22:8891/litv/litv-longturn09 
博斯高球台,http://209.146.124.22:8891/litv/litv-longturn05 
博斯高球二台,http://209.146.124.22:8891/litv/litv-longturn06 
博斯魅力台,http://209.146.124.22:8891/litv/litv-longturn04 
ELTA 娛樂台,http://209.146.124.22:8891/litv/4gtv-4gtv070 
ELTA 生活旅遊,http://209.146.124.22:8891/4gtv/237 
ELTA生活英語,http://209.146.124.22:8891/litv/litv-longturn20 
東森新聞,http://209.146.124.22:8891/litv/4gtv-4gtv152 
東森財經新聞,http://209.146.124.22:8891/litv/4gtv-4gtv153 
